Time,Conc.1,Conc.2,Conc.3,Conc.4,BF1,BF2,BF3,BF4,TS,Ite3 Conc.1,Ite3 Conc.2,Ite3 Conc.3,Ite3 Conc.4,Ite3 BF1,Ite3 BF2,Ite3 BF3,Ite3 BF4,Ite3 TS,Averaged Signal,QCL Voltage,Device Temp.,Board Temp.,Peltier Temp.,Peltier Current,Peltier Voltage,Cell Temp.,TCS Temp.,Air Press.,Cell Press.,Preamp Temp,Averaged Zero,Temp. Shift,Residual,Setting Param.,Ite.Nm1 Conc.1,Ite.Nm2 Conc.1,Amp Adjust, TCS Cell Press,FPGA Temp.
0.1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,208274.8594,9.213374,37.02615,39.522053,25.007193,0.33871,0.506523,0,0,0,0.015421,26.451601,5199083,0,0,12.000004,0,0,0,0,56.845348
0.2,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,208276.2813,9.214782,37.02615,39.523914,25.013832,0.339246,0.504997,0,0,0,0.015631,26.449306,5199191,0,0,25,0,0,0,0,57.091431
0.3,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,208263.6406,9.224358,37.020725,39.514595,24.964037,0.339513,0.505608,0,0,0,0.015526,26.450405,5199290,0,0,100,0,0,0,0,56.968391
0.4,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,208252.4063,9.213655,37.008072,39.52578,25.019365,0.33871,0.506218,0,0,0,0.015683,26.450953,5199409,0,0,1,0,0,0,0,56.722309
0.5,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,208243.1094,9.212811,37.024342,39.523914,25.009405,0.339915,0.504845,0,0,0,0.015631,26.452299,5199137,0,0,5,0,0,0,0,56.599266
0.6,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,208246.2813,9.212247,37.018917,39.523914,25.05035,0.339112,0.506065,0,0,0,0.016313,26.451002,5198927,0,0,1,0,0,0,0,56.845348
0.7,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,208241.7969,9.209994,37.011688,39.531376,24.983955,0.33871,0.50515,0,0,0,0.015736,26.451153,5198910,0,0,0,0,0,0,0,57.21447
0.8,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,208223.8906,9.217317,37.013493,39.516457,25.075804,0.337907,0.505302,0,0,0,0.015841,26.450453,5199039,0,0,0,0,0,0,0,56.845348
0.9,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,208228.0156,9.213374,37.015301,39.51273,24.991701,0.339781,0.505608,0,0,0,0.016051,26.451403,5198611,0,0,0,0,0,0,0,56.722309
1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,208228.2813,9.212247,37.013493,39.51273,25.01162,0.339112,0.504692,0,0,0,0.015736,26.450851,5198852,0,0,0,0,0,0,0,57.21447
1.1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,208231.7031,9.219007,37.008072,39.50341,24.992807,0.339246,0.505455,0,0,0,0.015893,26.450356,5199079,0,0,0,0,0,0,0,56.476227
1.2,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,208235.4063,9.216754,37.008072,39.514595,25.05699,0.338442,0.505302,0,0,0,0.015579,26.450453,5198908,0,0,0,0,0,0,0,56.722309
1.3,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,208235.6563,9.21788,37.011688,39.510864,25.049244,0.338978,0.506218,0,0,0,0.016051,26.450205,5198798,0,0,0,0,0,0,0,57.337513
1.4,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,208241,9.210839,37.000839,39.522053,25.221905,0.338576,0.50576,0,0,0,0.015526,26.450603,5198725,0,0,0,0,0,0,0,56.845348
1.5,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,208230.8438,9.210839,37.00988,39.52578,25.003874,0.337505,0.50576,0,0,0,0.015788,26.449257,5198825,0,0,0,0,0,0,0,56.968391
1.6,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,208227.8594,9.209994,37.011688,39.514595,24.979528,0.337372,0.50515,0,0,0,0.015683,26.449804,5199082,0,0,0,0,0,0,0,56.476227
1.7,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,208225.9531,9.210557,36.997227,39.505272,25.020472,0.337773,0.504692,0,0,0,0.015998,26.450054,5198937,0,0,0,0,0,0,0,56.476227
1.8,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,208228.4688,9.221823,37.004456,39.51273,25.016045,0.338309,0.505455,0,0,0,0.015631,26.45195,5198855,0,0,0,0,0,0,0,56.353188
1.9,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,208230.8125,9.22464,37.008072,39.516457,25.013832,0.339379,0.505302,0,0,0,0.015736,26.450705,5199010,0,0,0,0,0,0,0,56.599266
2,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,208240.2031,9.211402,37.002647,39.523914,25.023792,0.337773,0.50576,0,0,0,0.015579,26.449455,5199092,0,0,0,0,0,0,0,57.091431
