Time,Conc.1,Conc.2,Conc.3,Conc.4,BF1,BF2,BF3,BF4,TS,Ite3 Conc.1,Ite3 Conc.2,Ite3 Conc.3,Ite3 Conc.4,Ite3 BF1,Ite3 BF2,Ite3 BF3,Ite3 BF4,Ite3 TS,Averaged Signal,QCL Voltage,Device Temp.,Board Temp.,Peltier Temp.,Peltier Current,Peltier Voltage,Cell Temp.,TCS Temp.,Air Press.,Cell Press.,Preamp Temp,Averaged Zero,Temp. Shift,Residual,Setting Param.,Ite.Nm1 Conc.1,Ite.Nm2 Conc.1,Amp Adjust, TCS Cell Press,FPGA Temp.
0.1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,520331.875,10.495975,32.685116,31.693285,25.04039,0.207536,0.319905,0,0,0,0.016155,25.896162,5153162,0,0,10.5,0,0,0,0,55.614941
0.2,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,606882.875,10.493299,32.684261,31.689091,25.017704,0.207201,0.319982,0,0,0,0.016103,25.896461,5153211,0,0,25,0,0,0,0,55.491898
0.3,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,693433.8125,10.490623,32.683407,31.684896,24.99502,0.206867,0.320058,0,0,0,0.016051,25.896759,5153260,0,0,100,0,0,0,0,55.368858
0.4,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,736846.8125,10.490482,32.67828,31.695803,25.034306,0.206934,0.320287,0,0,0,0.01571,25.897453,5153254.5,0,0,1,0,0,0,0,55.491898
0.5,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,780259.8125,10.490341,32.673153,31.706709,25.073591,0.207001,0.320516,0,0,0,0.015369,25.898148,5153249,0,0,5,0,0,0,0,55.614941
0.6,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,806478.75,10.494988,32.665466,31.716778,25.063631,0.206733,0.320287,0,0,0,0.015736,25.898197,5153060,0,0,1,0,0,0,0,55.553421
0.7,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,832697.6875,10.499636,32.657776,31.726847,25.053671,0.206465,0.320058,0,0,0,0.016103,25.898247,5152871,0,0,0,0,0,0,0,55.491901
0.8,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,849966.625,10.498228,32.662903,31.731043,24.998896,0.206934,0.319524,0,0,0,0.015841,25.898125,5153088.5,0,0,0,0,0,0,0,55.737984
0.9,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,867235.5625,10.496819,32.668026,31.735239,24.94412,0.207402,0.31899,0,0,0,0.015579,25.898001,5153306,0,0,0,0,0,0,0,55.984062
1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,879587.3125,10.49344,32.664612,31.7344,24.990044,0.207536,0.320058,0,0,0,0.015579,25.898001,5153191,0,0,0,0,0,0,0,55.922543
1.1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,891939.0625,10.49006,32.661194,31.733561,25.035965,0.20767,0.321126,0,0,0,0.015579,25.898001,5153076,0,0,0,0,0,0,0,55.861023
1.2,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,901277.875,10.49527,32.670593,31.7344,25.052011,0.20767,0.320668,0,0,0,0.015736,25.898148,5153053,0,0,0,0,0,0,0,56.045586
1.3,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,910616.75,10.500481,32.679989,31.735239,25.068058,0.20767,0.320211,0,0,0,0.015893,25.898296,5153030,0,0,0,0,0,0,0,56.230145
1.4,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,917807.6875,10.494848,32.676571,31.739437,25.051456,0.207804,0.320211,0,0,0,0.015998,25.898396,5152969.5,0,0,0,0,0,0,0,56.045586
1.5,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,924998.6875,10.489215,32.673153,31.743633,25.034857,0.207938,0.320211,0,0,0,0.016103,25.898497,5152909,0,0,0,0,0,0,0,55.861023
1.6,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,930712.625,10.492031,32.66803,31.745312,25.027111,0.207871,0.319753,0,0,0,0.015946,25.897751,5152927,0,0,0,0,0,0,0,55.922543
1.7,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,936426.625,10.494847,32.662903,31.74699,25.019365,0.207804,0.319295,0,0,0,0.015788,25.897005,5152945,0,0,0,0,0,0,0,55.984062
1.8,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,941132.9375,10.492172,32.667175,31.753706,25.012726,0.20767,0.3196,0,0,0,0.015972,25.897055,5153017.5,0,0,0,0,0,0,0,55.7995
1.9,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,945839.25,10.489496,32.671444,31.760422,25.006086,0.207536,0.319905,0,0,0,0.016155,25.897104,5153090,0,0,0,0,0,0,0,55.614941
2,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,949763.875,10.489919,32.673153,31.757904,25.027664,0.20767,0.320211,0,0,0,0.016077,25.897724,5153017.5,0,0,0,0,0,0,0,55.553421
