Time,Conc.1,Conc.2,Conc.3,Conc.4,BF1,BF2,BF3,BF4,TS,Ite3 Conc.1,Ite3 Conc.2,Ite3 Conc.3,Ite3 Conc.4,Ite3 BF1,Ite3 BF2,Ite3 BF3,Ite3 BF4,Ite3 TS,Averaged Signal,QCL Voltage,Device Temp.,Board Temp.,Peltier Temp.,Peltier Current,Peltier Voltage,Cell Temp.,TCS Temp.,Air Press.,Cell Press.,Preamp Temp,Averaged Zero,Temp. Shift,Residual,Setting Param.,Ite.Nm1 Conc.1,Ite.Nm2 Conc.1,Amp Adjust, TCS Cell Press,FPGA Temp.
0.1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,711240.375,10.489496,32.897297,31.572565,25.047031,0.210749,0.325551,0,0,0,0.016208,26.029596,5152812,0,0,10.5,0,0,0,0,55.737984
0.2,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,829672.875,10.489637,32.900726,31.587646,25.0166,0.210682,0.326009,0,0,0,0.016287,26.029919,5152823.5,0,0,25,0,0,0,0,55.922546
0.3,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,948105.375,10.489779,32.904152,31.60273,24.986168,0.210615,0.326467,0,0,0,0.016365,26.030243,5152835,0,0,100,0,0,0,0,56.107105
0.4,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1007256.0625,10.490341,32.898155,31.607758,25.003872,0.210079,0.326467,0,0,0,0.016051,26.030293,5152711,0,0,1,0,0,0,0,56.230148
0.5,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1066406.875,10.490905,32.892159,31.612787,25.021578,0.209544,0.326467,0,0,0,0.015736,26.030342,5152587,0,0,5,0,0,0,0,56.353188
0.6,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1101895.25,10.491045,32.887016,31.627876,24.996681,0.210079,0.326314,0,0,0,0.015946,26.030266,5152585.5,0,0,1,0,0,0,0,56.353188
0.7,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1137383.625,10.491186,32.881878,31.642965,24.971783,0.210615,0.326162,0,0,0,0.016155,26.030191,5152584,0,0,0,0,0,0,0,56.353188
0.8,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1161159.25,10.491609,32.887016,31.641289,25.009407,0.210481,0.32639,0,0,0,0.016182,26.030664,5152628.5,0,0,0,0,0,0,0,56.353188
0.9,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1184934.875,10.492031,32.892159,31.63961,25.047031,0.210347,0.326619,0,0,0,0.016208,26.031137,5152673,0,0,0,0,0,0,0,56.353188
1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1201898.5,10.492454,32.889587,31.638771,25.05035,0.210414,0.326009,0,0,0,0.016339,26.031559,5152664.5,0,0,0,0,0,0,0,56.168625
