Time,Conc.1,Conc.2,Conc.3,Conc.4,BF1,BF2,BF3,BF4,TS,Ite3 Conc.1,Ite3 Conc.2,Ite3 Conc.3,Ite3 Conc.4,Ite3 BF1,Ite3 BF2,Ite3 BF3,Ite3 BF4,Ite3 TS,Averaged Signal,QCL Voltage,Device Temp.,Board Temp.,Peltier Temp.,Peltier Current,Peltier Voltage,Cell Temp.,TCS Temp.,Air Press.,Cell Press.,Preamp Temp,Averaged Zero,Temp. Shift,Residual,Setting Param.,Ite.Nm1 Conc.1,Ite.Nm2 Conc.1,Amp Adjust, TCS Cell Press,FPGA Temp.
0.1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1233864.875,10.49175,32.480278,31.668121,25.00498,0.205528,0.315175,0,0,0,0.015893,25.654028,5210347,0,0,10.5,0,0,0,0,55.614941
0.2,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1233954.5,10.497946,32.471756,31.671476,25.026005,0.204591,0.315328,0,0,0,0.016051,25.654028,5210218,0,0,25,0,0,0,0,55.491901
0.3,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1234119.625,10.492595,32.480278,31.684896,25.003874,0.204993,0.315328,0,0,0,0.015788,25.654226,5210659,0,0,100,0,0,0,0,55.368858
0.4,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1234300.5,10.496256,32.476871,31.681541,25.043711,0.205261,0.315633,0,0,0,0.015631,25.654226,5210337,0,0,1,0,0,0,0,55.614941
0.5,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1234389.625,10.504142,32.483688,31.698318,25.059204,0.204859,0.315633,0,0,0,0.015841,25.654621,5210548,0,0,5,0,0,0,0,55.12278
0.6,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1234446.375,10.493721,32.490509,31.70503,25.061417,0.205261,0.314565,0,0,0,0.016208,25.653233,5210749,0,0,1,0,0,0,0,55.861023
0.7,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1234441.5,10.492595,32.483688,31.716778,24.980635,0.204993,0.31426,0,0,0,0.015946,25.653631,5210230,0,0,0,0,0,0,0,55.245819
0.8,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1234388.75,10.494285,32.481983,31.720135,25.027111,0.204591,0.315022,0,0,0,0.015893,25.653036,5210588,0,0,0,0,0,0,0,55.861023
0.9,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1234287.75,10.489496,32.464935,31.74699,24.993914,0.204725,0.31487,0,0,0,0.016155,25.651794,5210578,0,0,0,0,0,0,0,55.491901
1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1234116,10.502733,32.480278,31.752028,25.035965,0.204993,0.314565,0,0,0,0.016051,25.649366,5210418,0,0,0,0,0,0,0,55.614941
1.1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1233914.625,10.49175,32.473461,31.762102,25.052565,0.205127,0.31548,0,0,0,0.015841,25.649466,5210428,0,0,0,0,0,0,0,55.984062
1.2,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1233836.75,10.489779,32.471756,31.762102,25.000553,0.204993,0.315175,0,0,0,0.015683,25.647779,5210472,0,0,0,0,0,0,0,55.245819
1.3,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1233833,10.493157,32.475166,31.768818,25.034857,0.205127,0.315633,0,0,0,0.016051,25.648722,5210503,0,0,0,0,0,0,0,55.491901
1.4,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1233854.625,10.493721,32.46664,31.757065,25.05035,0.20419,0.314717,0,0,0,0.015788,25.648474,5210517,0,0,0,0,0,0,0,55.245819
