Time,Conc.1,Conc.2,Conc.3,Conc.4,BF1,BF2,BF3,BF4,TS,Ite3 Conc.1,Ite3 Conc.2,Ite3 Conc.3,Ite3 Conc.4,Ite3 BF1,Ite3 BF2,Ite3 BF3,Ite3 BF4,Ite3 TS,Averaged Signal,QCL Voltage,Device Temp.,Board Temp.,Peltier Temp.,Peltier Current,Peltier Voltage,Cell Temp.,TCS Temp.,Air Press.,Cell Press.,Preamp Temp,Averaged Zero,Temp. Shift,Residual,Setting Param.,Ite.Nm1 Conc.1,Ite.Nm2 Conc.1,Amp Adjust, TCS Cell Press,FPGA Temp.
0.1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47734.50391,9.213374,35.129242,37.616539,24.977316,0.313948,0.455558,0,0,0,0.015998,25.283524,5151609,0,0,12.000004,0,0,0,0,56.353188
0.2,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47741.80469,9.211402,35.122196,37.603859,25.007193,0.314751,0.455406,0,0,0,0.01647,25.284018,5151731,0,0,25,0,0,0,0,55.614941
0.3,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47742.02344,9.22295,35.125721,37.603859,25.017153,0.314885,0.455253,0,0,0,0.015736,25.28471,5151569,0,0,100,0,0,0,0,55.737984
0.4,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47753.63672,9.212529,35.136292,37.607483,25.016045,0.315019,0.455558,0,0,0,0.015736,25.284561,5151759,0,0,1,0,0,0,0,55.737984
0.5,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47759.85938,9.212247,35.138054,37.612915,24.992807,0.314885,0.454795,0,0,0,0.016208,25.284958,5151501,0,0,5,0,0,0,0,55.984062
0.6,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47752.83203,9.213937,35.141579,37.598427,25.01162,0.314885,0.4551,0,0,0,0.015211,25.284809,5151408,0,0,1,0,0,0,0,55.737984
0.7,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47758.89453,9.213374,35.120434,37.611107,25.033751,0.314483,0.455558,0,0,0,0.016051,25.284264,5151588,0,0,0,0,0,0,0,56.107105
0.8,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47767,9.2145,35.116913,37.600239,25.013832,0.314751,0.45388,0,0,0,0.015893,25.285749,5151408,0,0,0,0,0,0,0,55.984062
0.9,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47769.66016,9.2145,35.122196,37.589371,25.002766,0.314349,0.456474,0,0,0,0.015736,25.286442,5151675,0,0,0,0,0,0,0,55.737984
1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47777.09375,9.210276,35.129242,37.598427,25.002766,0.314215,0.455711,0,0,0,0.015369,25.285847,5151728,0,0,0,0,0,0,0,55.984062
1.1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47769.35938,9.221541,35.118671,37.603859,25.038177,0.312877,0.454185,0,0,0,0.016103,25.285995,5151593,0,0,0,0,0,0,0,55.614941
1.2,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47773.20703,9.213374,35.132767,37.607483,25.05699,0.314483,0.454643,0,0,0,0.015579,25.286194,5151399,0,0,0,0,0,0,0,56.230145
1.3,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47777.84375,9.2145,35.108105,37.600239,25.026005,0.314349,0.455406,0,0,0,0.015841,25.286194,5151460,0,0,0,0,0,0,0,56.230145
1.4,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47779.44141,9.214782,35.127483,37.598427,25.010513,0.314349,0.455558,0,0,0,0.015998,25.286243,5151690,0,0,0,0,0,0,0,56.353188
1.5,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47783.57422,9.223231,35.120434,37.592991,25.013832,0.314349,0.455558,0,0,0,0.015369,25.284464,5151635,0,0,0,0,0,0,0,56.107105
1.6,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47776.38672,9.219851,35.116913,37.603859,25.081337,0.314617,0.455253,0,0,0,0.015841,25.286886,5151641,0,0,0,0,0,0,0,56.230145
1.7,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47771.56641,9.223231,35.123959,37.596615,24.997234,0.314617,0.454948,0,0,0,0.015841,25.285601,5151793,0,0,0,0,0,0,0,56.476227
1.8,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47772.01172,9.218162,35.129242,37.598427,25.047031,0.314751,0.455863,0,0,0,0.015788,25.285402,5151830,0,0,0,0,0,0,0,56.107105
1.9,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47776.19141,9.222668,35.118671,37.602047,25.037071,0.315019,0.454185,0,0,0,0.015998,25.285501,5151591,0,0,0,0,0,0,0,55.984062
2,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47774.60156,9.212247,35.122196,37.582127,25.002766,0.315019,0.455558,0,0,0,0.015736,25.286985,5151811,0,0,0,0,0,0,0,55.614941
2.1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47772.33984,9.213374,35.108105,37.602047,25.006086,0.31368,0.455253,0,0,0,0.015893,25.286985,5151692,0,0,0,0,0,0,0,56.353188
2.2,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47768.23438,9.212529,35.125721,37.596615,25.034857,0.31368,0.455406,0,0,0,0.015211,25.286688,5151547,0,0,0,0,0,0,0,56.353188
2.3,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47759.61719,9.212247,35.127483,37.596615,25.030432,0.31368,0.45449,0,0,0,0.015893,25.2857,5151677,0,0,0,0,0,0,0,56.107105
2.4,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47755.26953,9.218725,35.118671,37.607483,25.047031,0.314751,0.455711,0,0,0,0.016051,25.286985,5151545,0,0,0,0,0,0,0,55.984062
2.5,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47753.97656,9.213374,35.108105,37.583939,25.00498,0.313412,0.455711,0,0,0,0.016103,25.287777,5151775,0,0,0,0,0,0,0,56.107105
2.6,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47753.41016,9.212247,35.118671,37.607483,24.97621,0.314349,0.455406,0,0,0,0.015788,25.286045,5151759,0,0,0,0,0,0,0,55.491901
2.7,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47745.45703,9.214219,35.11515,37.602047,25.021578,0.313948,0.455253,0,0,0,0.015841,25.287083,5151632,0,0,0,0,0,0,0,55.614941
2.8,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47740.90625,9.223513,35.113388,37.591183,25.054777,0.315019,0.455253,0,0,0,0.015421,25.287281,5151514,0,0,0,0,0,0,0,55.861023
2.9,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47726.91016,9.210276,35.113388,37.594803,25.00498,0.314349,0.456321,0,0,0,0.015736,25.286491,5151666,0,0,0,0,0,0,0,55.984062
3,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47726.52734,9.21619,35.118671,37.589371,25.016045,0.314617,0.45388,0,0,0,0.015211,25.285749,5151666,0,0,0,0,0,0,0,56.107105
3.1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47729.8125,9.213374,35.10458,37.594803,24.992807,0.314349,0.454948,0,0,0,0.015683,25.285995,5151489,0,0,0,0,0,0,0,55.984062
3.2,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47731.29688,9.21619,35.120434,37.600239,25.063631,0.314349,0.455558,0,0,0,0.015893,25.286243,5151380,0,0,0,0,0,0,0,56.353188
3.3,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47723.83594,9.211121,35.113388,37.589371,25.010513,0.314349,0.454643,0,0,0,0.015788,25.286194,5151852,0,0,0,0,0,0,0,55.737984
3.4,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47722.28125,9.215627,35.108105,37.578506,25.033751,0.314215,0.454948,0,0,0,0.015893,25.285601,5151628,0,0,0,0,0,0,0,56.353188
3.5,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47722.90234,9.215345,35.106342,37.594803,25.039284,0.31368,0.454643,0,0,0,0.015526,25.286491,5151780,0,0,0,0,0,0,0,55.984062
3.6,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47732.39453,9.224076,35.109867,37.589371,25.007193,0.314483,0.4551,0,0,0,0.015841,25.286936,5151773,0,0,0,0,0,0,0,56.476227
3.7,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47738.61719,9.212529,35.111626,37.594803,24.990595,0.314617,0.454795,0,0,0,0.015946,25.285799,5151908,0,0,0,0,0,0,0,56.230145
3.8,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47735.51953,9.223513,35.113388,37.592991,25.022684,0.313814,0.454948,0,0,0,0.015579,25.287184,5151774,0,0,0,0,0,0,0,55.737984
3.9,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47733.98047,9.211402,35.102821,37.585751,24.990595,0.313814,0.454337,0,0,0,0.016103,25.287827,5151306,0,0,0,0,0,0,0,55.861023
4,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47725.35938,9.224358,35.097538,37.594803,25.037071,0.314885,0.455253,0,0,0,0.015736,25.288122,5151620,0,0,0,0,0,0,0,55.861023
4.1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47719.64453,9.22126,35.101059,37.580318,25.04039,0.314215,0.454795,0,0,0,0.015841,25.28738,5151637,0,0,0,0,0,0,0,55.614941
4.2,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47725.60547,9.214219,35.102821,37.587559,25.024899,0.313145,0.454643,0,0,0,0.015998,25.286095,5151640,0,0,0,0,0,0,0,55.614941
4.3,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47728.86328,9.217317,35.097538,37.583939,25.053671,0.313412,0.454643,0,0,0,0.015788,25.287924,5151820,0,0,0,0,0,0,0,55.984062
4.4,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47720.15625,9.215064,35.088734,37.582127,25.033751,0.315019,0.455406,0,0,0,0.015998,25.287333,5151888,0,0,0,0,0,0,0,56.353188
4.5,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47707.69531,9.223231,35.106342,37.585751,25.052565,0.315019,0.454948,0,0,0,0.015631,25.286936,5151716,0,0,0,0,0,0,0,56.107105
4.6,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47704.16406,9.212529,35.099297,37.598427,25.023792,0.313546,0.454337,0,0,0,0.015841,25.286688,5151458,0,0,0,0,0,0,0,56.230145
4.7,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47710.08203,9.215064,35.099297,37.573074,25.030432,0.314483,0.455711,0,0,0,0.015421,25.287134,5151692,0,0,0,0,0,0,0,55.491901
4.8,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47703.28906,9.220978,35.101059,37.585751,25.058098,0.315152,0.454337,0,0,0,0.015579,25.287479,5151614,0,0,0,0,0,0,0,56.476227
4.9,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47703.65234,9.210839,35.097538,37.580318,25.033751,0.314349,0.455863,0,0,0,0.015683,25.287876,5151771,0,0,0,0,0,0,0,56.107105
5,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47710.97656,9.220134,35.10458,37.594803,25.021578,0.314082,0.454032,0,0,0,0.015683,25.287827,5151658,0,0,0,0,0,0,0,56.476227
5.1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,47715.56641,9.212529,35.088734,37.580318,25.016045,0.315019,0.453727,0,0,0,0.015893,25.288221,5151895,0,0,0,0,0,0,0,56.107105
