Time,Conc.1,Conc.2,Conc.3,Conc.4,BF1,BF2,BF3,BF4,TS,Ite3 Conc.1,Ite3 Conc.2,Ite3 Conc.3,Ite3 Conc.4,Ite3 BF1,Ite3 BF2,Ite3 BF3,Ite3 BF4,Ite3 TS,Averaged Signal,QCL Voltage,Device Temp.,Board Temp.,Peltier Temp.,Peltier Current,Peltier Voltage,Cell Temp.,TCS Temp.,Air Press.,Cell Press.,Preamp Temp,Averaged Zero,Temp. Shift,Residual,Setting Param.,Ite.Nm1 Conc.1,Ite.Nm2 Conc.1,Amp Adjust, TCS Cell Press,FPGA Temp.
0.1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1117539.25,10.489496,33.159843,32.605709,24.990595,0.214496,0.33196,0,0,0,0.016208,26.038347,5152167,0,0,10.5,0,0,0,0,56.845348
0.2,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1303870.5,10.490623,33.149532,32.600624,25.030434,0.214229,0.331579,0,0,0,0.016208,26.039167,5152275,0,0,25,0,0,0,0,56.476227
0.3,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1490201.875,10.49175,33.139221,32.595535,25.070271,0.213961,0.331197,0,0,0,0.016208,26.039988,5152383,0,0,100,0,0,0,0,56.107105
0.4,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1583324.125,10.49344,33.140938,32.593842,25.034859,0.213559,0.33135,0,0,0,0.016129,26.039665,5152412,0,0,1,0,0,0,0,56.168625
0.5,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1676446.5,10.49513,33.142658,32.592144,24.999447,0.213158,0.331502,0,0,0,0.016051,26.039343,5152441,0,0,5,0,0,0,0,56.230145
0.6,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1732340,10.491468,33.143517,32.596382,24.992807,0.213024,0.331655,0,0,0,0.015998,26.039566,5152408,0,0,1,0,0,0,0,56.291664
0.7,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1788233.625,10.487806,33.144375,32.60062,24.986168,0.21289,0.331807,0,0,0,0.015946,26.039789,5152375,0,0,0,0,0,0,0,56.353188
0.8,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1825505,10.4902,33.150391,32.608253,25.006086,0.212756,0.331807,0,0,0,0.015815,26.040609,5152320.5,0,0,0,0,0,0,0,56.660789
0.9,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1862776.375,10.492595,33.156403,32.615883,25.026005,0.212622,0.331807,0,0,0,0.015683,26.04143,5152266,0,0,0,0,0,0,0,56.968391
1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1889402,10.492172,33.153824,32.620972,25.007748,0.212756,0.331807,0,0,0,0.015815,26.041603,5152308.5,0,0,0,0,0,0,0,56.660789
1.1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1916027.75,10.49175,33.151249,32.626057,24.989489,0.21289,0.331807,0,0,0,0.015946,26.041779,5152351,0,0,0,0,0,0,0,56.353188
1.2,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1935999.5,10.49344,33.149529,32.637932,25.01162,0.213225,0.33196,0,0,0,0.015867,26.0424,5152396,0,0,0,0,0,0,0,56.414707
