Time,Conc.1,Conc.2,Conc.3,Conc.4,BF1,BF2,BF3,BF4,TS,Ite3 Conc.1,Ite3 Conc.2,Ite3 Conc.3,Ite3 Conc.4,Ite3 BF1,Ite3 BF2,Ite3 BF3,Ite3 BF4,Ite3 TS,Averaged Signal,QCL Voltage,Device Temp.,Board Temp.,Peltier Temp.,Peltier Current,Peltier Voltage,Cell Temp.,TCS Temp.,Air Press.,Cell Press.,Preamp Temp,Averaged Zero,Temp. Shift,Residual,Setting Param.,Ite.Nm1 Conc.1,Ite.Nm2 Conc.1,Amp Adjust, TCS Cell Press,FPGA Temp.
0.1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,291069.625,10.49344,32.408703,31.137966,25.06031,0.203253,0.313039,0,0,0,0.015474,25.689781,5152715,0,0,10.5,0,0,0,0,55.12278
0.2,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,339550.40625,10.49175,32.401039,31.137133,25.035965,0.203855,0.312963,0,0,0,0.0155,25.689808,5152800,0,0,25,0,0,0,0,54.938217
0.3,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,388031.15625,10.49006,32.393372,31.136299,25.01162,0.204458,0.312886,0,0,0,0.015526,25.689833,5152885,0,0,100,0,0,0,0,54.753654
0.4,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,412122.3125,10.494988,32.392521,31.127129,25.045372,0.204257,0.313039,0,0,0,0.015631,25.690948,5152835,0,0,1,0,0,0,0,54.999737
0.5,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,436213.5,10.499917,32.39167,31.117958,25.079124,0.204056,0.313191,0,0,0,0.015736,25.692064,5152785,0,0,5,0,0,0,0,55.245819
0.6,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,450692.53125,10.49527,32.392521,31.098789,25.037071,0.204056,0.313039,0,0,0,0.015683,25.691666,5152683.5,0,0,1,0,0,0,0,55.245819
0.7,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,465171.5625,10.490623,32.393372,31.07962,24.99502,0.204056,0.312886,0,0,0,0.015631,25.691269,5152582,0,0,0,0,0,0,0,55.245819
0.8,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,475022.0625,10.492735,32.394226,31.078789,25.015491,0.204056,0.31342,0,0,0,0.015683,25.691643,5152536.5,0,0,0,0,0,0,0,55.245819
0.9,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,484872.5625,10.494847,32.395077,31.077955,25.035965,0.204056,0.313954,0,0,0,0.015736,25.692015,5152491,0,0,0,0,0,0,0,55.245819
1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,491776.53125,10.492313,32.394226,31.067123,25.027111,0.204123,0.313344,0,0,0,0.015919,25.692089,5152756,0,0,0,0,0,0,0,55.184299
